NAME;TIME;LAT;LON;INTESINTY;STORM_SPEED;STORM_DIR
ANN 1;1945-04-19 18:00:00;9.6;159.9;30;3;280
ANN 1;1945-04-19 21:00:00;9.6;159.8;33;2;275
ANN 1;1945-04-20 00:00:00;9.6;159.7;35;3;280
ANN 1;1945-04-20 03:00:00;9.6;159.5;38;4;285
ANN 1;1945-04-20 06:00:00;9.7;159.3;40;5;285
ANN 1;1945-04-20 09:00:00;9.8;159.1;43;5;280
ANN 1;1945-04-20 12:00:00;9.8;158.8;45;5;275
ANN 1;1945-04-20 15:00:00;9.8;158.6;45;5;270
ANN 1;1945-04-20 18:00:00;9.8;158.3;45;4;270
ANN 1;1945-04-20 21:00:00;9.8;158.1;48;4;270
ANN 1;1945-04-21 00:00:00;9.8;157.9;50;4;275
ANN 1;1945-04-21 03:00:00;9.8;157.7;50;5;280
ANN 1;1945-04-21 06:00:00;9.9;157.4;50;5;285
ANN 1;1945-04-21 09:00:00;10;157.2;50;4;285
ANN 1;1945-04-21 12:00:00;10;157;50;4;275
ANN 1;1945-04-21 15:00:00;10;156.8;45;5;270
ANN 1;1945-04-21 18:00:00;10;156.5;40;6;275
ANN 1;1945-04-21 21:00:00;10.1;156.2;40;7;275
ANN 1;1945-04-22 00:00:00;10.1;155.8;40;7;280
ANN 1;1945-04-22 03:00:00;10.1;155.4;38;7;275
ANN 1;1945-04-22 06:00:00;10.2;155.1;35;7;275
ANN 1;1945-04-22 09:00:00;10.2;154.8;35;6;270
ANN 1;1945-04-22 12:00:00;10.2;154.5;35;4;275
ANN 1;1945-04-22 15:00:00;10.2;154.3;35;3;285
ANN 1;1945-04-22 18:00:00;10.3;154.2;35;3;290
ANN 1;1945-04-22 21:00:00;10.3;154;35;4;285
ANN 1;1945-04-23 00:00:00;10.4;153.8;35;4;285
ANN 1;1945-04-23 03:00:00;10.4;153.6;33;4;285
ANN 1;1945-04-23 06:00:00;10.5;153.4;30;4;280
ANN 1;1945-04-23 09:00:00;10.5;153.2;30;4;285
ANN 1;1945-04-23 12:00:00;10.6;153;30;6;295
ANN 1;1945-04-23 15:00:00;10.8;152.7;30;7;305
ANN 1;1945-04-23 18:00:00;11;152.4;30;6;300
ANN 1;1945-04-23 21:00:00;11.1;152.2;30;5;300
ANN 1;1945-04-24 00:00:00;11.2;152;30;5;305
ANN 1;1945-04-24 03:00:00;11.4;151.8;30;6;310
ANN 1;1945-04-24 06:00:00;11.6;151.5;30;6;310
ANN 1;1945-04-24 09:00:00;11.8;151.2;30;6;310
ANN 1;1945-04-24 12:00:00;12;151;30;7;320
ANN 1;1945-04-24 15:00:00;12.3;150.8;30;8;330
ANN 1;1945-04-24 18:00:00;12.7;150.6;30;8;330
ANN 1;1945-04-24 21:00:00;13;150.4;30;7;330
ANN 1;1945-04-25 00:00:00;13.3;150.2;30;7;325
ANN 1;1945-04-25 03:00:00;13.6;150;28;7;325
ANN 1;1945-04-25 06:00:00;13.9;149.8;25;7;330
ANN 1;1945-04-25 09:00:00;14.2;149.6;25;7;335
ANN 1;1945-04-25 12:00:00;14.5;149.5;25;7;340
ANN 1;1945-04-25 15:00:00;14.8;149.4;25;6;345
ANN 1;1945-04-25 18:00:00;15.1;149.3;25;7;350
ANN 1;1945-04-25 21:00:00;15.5;149.2;25;7;350
ANN 1;1945-04-26 00:00:00;15.8;149.2;25;7;350
ANN 1;1945-04-26 03:00:00;16.1;149.2;23;6;350
ANN 1;1945-04-26 06:00:00;16.4;149.1;20;6;350
ANN 1;1945-04-26 09:00:00;16.7;149.1;20;6;350
ANN 1;1945-04-26 12:00:00;17;149;20;6;355
BETTY 1;1945-05-13 12:00:00;19;136;20;11;45
BETTY 1;1945-05-13 15:00:00;19.4;136.4;23;11;45
BETTY 1;1945-05-13 18:00:00;19.8;136.8;25;9;45
