NAME;TIME;LAT;LON;INTENSITY;STORM_SPEED;STORM_DIR
JUDY 1;1965-01-25 23:00:00;-11.6;133;;5;115
JUDY 1;1965-01-25 23:30:00;-11.6;133;;7;155
JUDY 1;1965-01-26 00:00:00;-11.7;133;;11;165
JUDY 1;1965-01-26 03:00:00;-12.2;133.2;;12;160
JUDY 1;1965-01-26 05:30:00;-12.7;133.4;;12;160
JUDY 1;1965-01-26 06:00:00;-12.8;133.4;;10;140
JUDY 1;1965-01-26 09:00:00;-13.1;133.8;;9;125
JUDY 1;1965-01-26 11:00:00;-13.3;134.1;;9;110
JUDY 1;1965-01-26 11:30:00;-13.3;134.1;;9;100
JUDY 1;1965-01-26 12:00:00;-13.3;134.2;;10;80
JUDY 1;1965-01-26 15:00:00;-13.2;134.7;;10;75
JUDY 1;1965-01-26 18:00:00;-13;135.2;;11;70
JUDY 1;1965-01-26 21:00:00;-12.8;135.8;;11;75
JUDY 1;1965-01-26 23:00:00;-12.7;136.1;;10;80
JUDY 1;1965-01-26 23:30:00;-12.7;136.2;;10;85
JUDY 1;1965-01-27 00:00:00;-12.7;136.3;;10;95
JUDY 1;1965-01-27 02:30:00;-12.7;136.7;;10;95
JUDY 1;1965-01-27 03:00:00;-12.8;136.8;;10;110
JUDY 1;1965-01-27 05:30:00;-12.9;137.2;;10;110
JUDY 1;1965-01-27 06:00:00;-12.9;137.2;;10;115
JUDY 1;1965-01-27 09:00:00;-13.2;137.7;;10;120
JUDY 1;1965-01-27 11:00:00;-13.3;138;;9;125
JUDY 1;1965-01-27 12:00:00;-13.4;138.1;;7;120
JUDY 1;1965-01-27 15:00:00;-13.6;138.4;;7;125
JUDY 1;1965-01-27 17:00:00;-13.7;138.6;;7;125
JUDY 1;1965-01-27 18:00:00;-13.8;138.7;;9;130
JUDY 1;1965-01-27 21:00:00;-14.1;139;;10;130
JUDY 1;1965-01-27 23:00:00;-14.4;139.3;;10;130
JUDY 1;1965-01-28 00:00:00;-14.5;139.4;;10;130
JUDY 1;1965-01-28 03:00:00;-14.8;139.8;;9;130
JUDY 1;1965-01-28 06:00:00;-15.1;140.2;;9;130
JUDY 1;1965-01-28 09:00:00;-15.3;140.5;;9;130
JUDY 1;1965-01-28 11:00:00;-15.5;140.7;;8;135
JUDY 1;1965-01-28 12:00:00;-15.6;140.8;;9;140
JUDY 1;1965-01-28 15:00:00;-16;141.1;;9;140
JUDY 1;1965-01-28 17:00:00;-16.2;141.3;;9;140
JUDY 1;1965-01-28 18:00:00;-16.3;141.4;;9;135
JUDY 1;1965-01-28 21:00:00;-16.6;141.7;;9;135
JUDY 1;1965-01-28 23:00:00;-16.8;141.9;;9;140
JUDY 1;1965-01-29 00:00:00;-16.9;142;;9;140
JUDY 1;1965-01-29 02:00:00;-17.2;142.2;;9;140
JUDY 1;1965-01-29 03:00:00;-17.3;142.4;;9;135
JUDY 1;1965-01-29 06:00:00;-17.6;142.7;;9;130
JUDY 1;1965-01-29 09:00:00;-17.9;143.1;;9;120
JUDY 1;1965-01-29 11:00:00;-18;143.4;;9;110
JUDY 1;1965-01-29 12:00:00;-18;143.5;;8;95
JUDY 1;1965-01-29 15:00:00;-18;144;;9;85
JUDY 1;1965-01-29 18:00:00;-17.9;144.4;;9;80
JUDY 1;1965-01-29 21:00:00;-17.8;144.9;;10;75
JUDY 1;1965-01-29 23:00:00;-17.7;145.3;;10;75
JUDY 1;1965-01-30 00:00:00;-17.7;145.4;;11;70
JUDY 1;1965-01-30 03:00:00;-17.5;146;;12;70
JUDY 1;1965-01-30 03:30:00;-17.4;146.1;;12;70
JUDY 1;1965-01-30 06:00:00;-17.3;146.6;;13;75
JUDY 1;1965-01-30 09:00:00;-17.2;147.3;;13;80
JUDY 1;1965-01-30 11:00:00;-17.1;147.8;;15;85
JUDY 1;1965-01-30 12:00:00;-17.1;148;;18;85
JUDY 1;1965-01-30 15:00:00;-17;149;;19;85
JUDY 1;1965-01-30 18:00:00;-17;150;;19;90
JUDY 1;1965-01-30 21:00:00;-17;151;;19;95
JUDY 1;1965-01-30 23:00:00;-17.1;151.7;;18;100
JUDY 1;1965-01-31 00:00:00;-17.2;151.9;;16;115
JUDY 1;1965-01-31 03:00:00;-17.6;152.7;;16;120
JUDY 1;1965-01-31 06:00:00;-18;153.4;;16;125
JUDY 1;1965-01-31 09:00:00;-18.5;154.1;;17;125
JUDY 1;1965-01-31 11:00:00;-18.8;154.6;;17;120
JUDY 1;1965-01-31 12:00:00;-18.9;154.9;;19;120
JUDY 1;1965-01-31 15:00:00;-19.4;155.7;;19;120
JUDY 1;1965-01-31 18:00:00;-19.9;156.6;;19;120
ANNIE 1;1965-02-14 12:00:00;-7;90.8;;14;220
ANNIE 1;1965-02-14 15:00:00;-7.6;90.4;;14;220
MARIE;1965-02-21 23:00:00;-11.8;137;;2;0
MARIE;1965-02-21 23:30:00;-11.8;137;;2;15
MARIE;1965-02-22 00:00:00;-11.8;137;;2;320
MARIE;1965-02-22 03:00:00;-11.7;136.9;;2;315
MARIE;1965-02-22 06:00:00;-11.6;136.9;;2;0
MARIE;1965-02-22 09:00:00;-11.5;136.9;;3;20
MARIE;1965-02-22 11:00:00;-11.4;137;;4;35
MARIE;1965-02-22 11:30:00;-11.4;137;;4;45
MARIE;1965-02-22 12:00:00;-11.4;137;;5;55
MARIE;1965-02-22 15:00:00;-11.2;137.2;;5;60
MARIE;1965-02-22 17:00:00;-11.2;137.4;;4;70
MARIE;1965-02-22 18:00:00;-11.1;137.4;;3;80
MARIE;1965-02-22 21:00:00;-11.1;137.5;;2;90
MARIE;1965-02-22 23:00:00;-11.1;137.6;;1;145
MARIE;1965-02-23 00:00:00;-11.2;137.6;;2;200
MARIE;1965-02-23 03:00:00;-11.3;137.5;;3;210
MARIE;1965-02-23 06:00:00;-11.4;137.4;;3;225
MARIE;1965-02-23 09:00:00;-11.5;137.3;;3;240
MARIE;1965-02-23 11:00:00;-11.5;137.2;;3;260
MARIE;1965-02-23 11:30:00;-11.5;137.2;;3;290
MARIE;1965-02-23 12:00:00;-11.5;137.2;;3;320
MARIE;1965-02-23 15:00:00;-11.4;137.1;;4;325
MARIE;1965-02-23 18:00:00;-11.2;137;;4;320
MARIE;1965-02-23 21:00:00;-11.1;136.8;;3;315
MARIE;1965-02-23 23:00:00;-11;136.8;;3;305
MARIE;1965-02-23 23:30:00;-11;136.7;;2;290
MARIE;1965-02-24 00:00:00;-11;136.7;;2;270
MARIE;1965-02-24 03:00:00;-11;136.6;;2;255
MARIE;1965-02-24 06:00:00;-11;136.5;;2;240
MARIE;1965-02-24 08:00:00;-11.1;136.5;;2;240
MARIE;1965-02-24 09:00:00;-11.1;136.5;;1;230
MARIE;1965-02-24 11:00:00;-11.1;136.4;;1;230
MARIE;1965-02-24 12:00:00;-11.1;136.4;;2;210
MARIE;1965-02-24 15:00:00;-11.2;136.4;;2;205
MARIE;1965-02-24 18:00:00;-11.3;136.4;;1;210
MARIE;1965-02-24 21:00:00;-11.3;136.3;;1;230
MARIE;1965-02-24 23:00:00;-11.3;136.3;;1;230
MARIE;1965-02-24 23:30:00;-11.3;136.3;;1;0
MARIE;1965-02-25 00:00:00;-11.4;136.3;;2;240
MARIE;1965-02-25 03:00:00;-11.4;136.2;;2;240
MARIE;1965-02-25 06:00:00;-11.5;136.1;;3;245
MARIE;1965-02-25 09:00:00;-11.5;135.9;;3;245
MARIE;1965-02-25 11:00:00;-11.6;135.9;;3;240
MARIE;1965-02-25 11:30:00;-11.6;135.8;;3;225
MARIE;1965-02-25 12:00:00;-11.6;135.8;;4;235
MARIE;1965-02-25 15:00:00;-11.7;135.7;;3;235
MARIE;1965-02-25 18:00:00;-11.8;135.5;;3;245
MARIE;1965-02-25 21:00:00;-11.8;135.4;;3;260
MARIE;1965-02-25 23:00:00;-11.8;135.3;;3;275
MARIE;1965-02-25 23:30:00;-11.8;135.3;;3;285
MARIE;1965-02-26 00:00:00;-11.8;135.2;;3;290
MARIE;1965-02-26 03:00:00;-11.8;135.1;;3;295
MARIE;1965-02-26 06:00:00;-11.7;135;;3;305
MARIE;1965-02-26 09:00:00;-11.6;134.8;;3;305
MARIE;1965-02-26 11:00:00;-11.6;134.8;;3;305
MARIE;1965-02-26 11:30:00;-11.5;134.7;;3;305
MARIE;1965-02-26 12:00:00;-11.5;134.7;;3;295
MARIE;1965-02-26 15:00:00;-11.5;134.6;;3;290
MARIE;1965-02-26 18:00:00;-11.4;134.5;;3;285
MARIE;1965-02-26 21:00:00;-11.4;134.3;;3;275
MARIE;1965-02-26 23:00:00;-11.4;134.2;;4;270
MARIE;1965-02-26 23:30:00;-11.4;134.2;;5;270
MARIE;1965-02-27 00:00:00;-11.4;134.1;;6;270
MARIE;1965-02-27 03:00:00;-11.4;133.8;;7;265
MARIE;1965-02-27 06:00:00;-11.4;133.4;;8;265
MARIE;1965-02-27 09:00:00;-11.5;133;;8;260
MARIE;1965-02-27 11:00:00;-11.5;132.7;;8;260
MARIE;1965-02-27 11:30:00;-11.6;132.7;;7;260
MARIE;1965-02-27 12:00:00;-11.6;132.6;;6;260
MARIE;1965-02-27 15:00:00;-11.6;132.3;;5;260
MARIE;1965-02-27 17:00:00;-11.6;132.2;;2;290
MARIE;1965-02-27 18:00:00;-11.6;132.3;;1;30
MARIE;1965-02-27 21:00:00;-11.6;132.2;;1;260
MARIE;1965-02-27 23:00:00;-11.6;132.2;;0;0
MARIE;1965-02-27 23:30:00;-11.6;132.3;;2;80
MARIE;1965-02-28 00:00:00;-11.6;132.2;;5;235
MARIE;1965-02-28 03:00:00;-11.7;132;;5;230
MARIE;1965-02-28 06:00:00;-11.9;131.8;;6;225
